Batch Size: 256	Seq Len: 32
Testing Category: BK	Threshold: 0.05
Training Size: 20050	Validation Size: 5013
2019-02-25 19:11:28.618585
~~ Training / Validation ~~
Epoch: 0 Average Training Accuracy: 0.22784810126582278
Average Training Loss: 3.519705243502991
Epoch: 0 Average Validation Accuracy: 0.3359265908637542
Average Validation Loss: 3.197728729248047
Epoch: 10 Average Training Accuracy: 0.3417721518987342
Average Training Loss: 3.121807475633259
Epoch: 10 Average Validation Accuracy: 0.33951725513664477
Average Validation Loss: 3.1428325712680816
Epoch: 20 Average Training Accuracy: 0.40506329113924056
Average Training Loss: 3.1160176924512357
Epoch: 20 Average Validation Accuracy: 0.33851984839417515
Average Validation Loss: 3.104092907905579
Epoch: 30 Average Training Accuracy: 0.2911392405063291
Average Training Loss: 3.1088509197476544
Epoch: 30 Average Validation Accuracy: 0.3367245162577299
Average Validation Loss: 3.110424613952637
Epoch: 40 Average Training Accuracy: 0.3924050632911392
Average Training Loss: 3.099994125245493
Epoch: 40 Average Validation Accuracy: 0.3353281468182725
Average Validation Loss: 3.1174095630645753
Number of Testing Enumerations: 3950
2019-02-28 20:46:39.995932
~~ Testing ~~
Video: WxtbjNsCQ8A	Size: 502
"Ground Truth: [0.34 0.34 0.34 0.34 0.34 0.34 0.34 0.34 0.34 0.32 0.32 0.32 0.32 0.32
 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.38 0.38 0.38 0.38 0.38 0.38 0.38
 0.38 0.38 0.38 0.38 0.38 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23
 0.23 0.23 0.23 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26
 0.26 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.22
 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.23 0.23 0.23
 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.26 0.26 0.26 0.26 0.26
 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.22 0.22 0.22 0.22 0.22 0.22 0.22
 0.22 0.22 0.22 0.22 0.22 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32
